county,disputed_votes,party,registered_voters,rejected_votes,reported_poll_stations,total_poll_stations,valid_votes,votes_count,votes_percent,winner_name
BARINGO,14,JP,232258,3289,837,892,178142,129886,72.91,STANLEY K KIPTIS
BOMET,2,JP,322012,5240,724,728,261795,175932,67.2,JOYCE CHERONO LABOSO
BUNGOMA,36,FORD-KENYA,559850,8084,1144,1186,405069,195429,48.25,WYCLIFFE WAFULA WANGAMATI
BUSIA,58,ODM,351048,5479,750,760,271427,134481,49.55,SOSPETERS ODEKE OJAAMONG
ELGEYO/MARAKWET,10,JP,180664,1012,519,529,143277,85395,59.6,ALEX TANUI TOLGOS
EMBU,15,MCCP,309468,5710,691,710,243804,95131,39.02,LENNY MAXWELL KIVUTI
GARISSA,5,JP,163350,3475,347,381,105596,53615,50.77,ALI  BUNOW KORANE
HOMA BAY,13,ODM,476875,4088,992,1062,375154,196997,52.51,CYPRIAN ARCHELIUS OTIENO AWITI
ISIOLO,3,IND,75338,843,178,195,48673,20348,41.81,MOHAMED ABDI KUTI
KAJIADO,225,JP,411193,4863,747,797,305968,165879,54.21,JOSEPH JAMA OLE LENKU
KAKAMEGA,353,ODM,743736,9608,1451,1497,537510,378910,70.49,WYCLIFFE AMBETSA OPARANYAH
KERICHO,5,JP,375668,3692,747,780,289499,275647,95.22,PAUL KIPRONO CHEPKWONY
KIAMBU,546,JP,1180920,11378,1900,1963,950677,743063,78.16,FERDINARD NDUNGU WAITITU BABAYAO
KILIFI,10,ODM,508068,4756,949,988,313007,209822,67.03,AMASON JEFFAH KINGI
KIRINYAGA,1,JP,349836,6470,650,659,294627,159361,54.09,ANNE MUMBI WAIGURU
KISII,293,ODM,546580,7824,1081,1126,387125,197398,50.99,JAMES ELVIS OMARIBA ONGWAE
KISUMU,20,ODM,539210,6815,981,1027,416164,263117,63.22,PETER ANYANG' NYONG'O
KITUI,24,NARC,474512,4729,1384,1454,343303,162768,47.41,CHARITY KALUKI NGILU
KWALE,2,JP,281041,2729,571,612,171208,111018,64.84,SALIM MVURYA MGALA
LAIKIPIA,7,IND,246487,1219,530,531,198342,100109,50.47,NDIRITU MURIITHI
LAMU,48,JP,69776,776,167,167,49324,22969,46.57,FAHIM YASIN TWAHA
MACHAKOS,6,MCCP,620254,7066,1290,1332,453820,241851,53.29,ALFRED NGANGA MUTUA
MAKUENI,0,WDM-K,423310,3666,1028,1060,320453,281147,87.73,KIVUTHA KIBWANA
MANDERA,8,JP,175642,1772,366,401,125002,67330,53.86,ALI IBRAHIM ROBA
MARSABIT,1,JP,141708,2386,363,384,104760,53269,50.85,MOHAMUD MOHAMED ALI
MERU,451,JP,702480,12320,1437,1473,528443,275623,52.16,KIRAITU MURUNGI
MIGORI,12,ODM,388633,4163,785,826,304279,189841,62.39,ZAKARIA OKOTH OBADO
MOMBASA,24,ODM,580223,5506,902,934,329076,213603,64.91,HASSAN ALI JOHO
MURANG'A,409,JP,587126,8195,1129,1131,505831,348877,68.97,WA-IRIA MWANGI
NAIROBI CITY,599,JP,2250853,21442,3224,3378,1554044,831539,53.51,MIKE SONKO MBUVI GIDION KIOKO
NAKURU,3,JP,949618,11012,1714,1806,710069,599961,84.49,LEE MAIYANI KINYAJUI
NANDI,48,JP,346007,4527,772,796,261200,238341,91.25,STEPHEN KIPYEGO SANG
NAROK,519,JP,341730,5620,720,750,270413,142402,52.66,SAMUEL KUNTAI TUNAI
NYAMIRA,461,ODM,278853,3729,517,553,190862,60117,31.5,JOHN OBIERO NYAGARAMA
NYANDARUA,11,JP,335634,4599,636,654,279701,222102,79.41,FRANCIS THUITA KIMEMIA
NYERI,8,JP,456949,8464,901,917,385588,280037,72.63,PATRICK WAHOME GAKURU
SAMBURU,0,JP,82787,1114,280,284,62454,39472,63.2,MOSES KASAINIE LENOLKULAL
SIAYA,522,ODM,457953,3301,875,916,362069,186094,51.4,CORNEL RASANGA AMOTH
TAITA TAVETA,5,WDM-K,155716,2068,337,354,107185,38770,36.17,GRANTON GRAHAM SAMBOJA
TANA RIVER,8,ODM,118327,1328,286,307,81167,24036,29.61,DHADHO GADDAE GODHANA
THARAKA - NITHI,18,JP,213154,2152,586,625,162227,112248,69.19,ONESMUS MUTHOMI NJUKI
TRANS NZOIA,25,FORD-KENYA,339622,3922,595,639,228318,125652,55.03,PATRICK SIMIYU E S KHAEMBA
TURKANA,9,ODM,191435,3028,568,644,114627,67940,59.27,JOSPHAT KOLI NANOK
UASIN GISHU,334,JP,450055,3813,831,868,326833,186623,57.1,JACKSON KIPLAGAT MANDAGO
VIHIGA,6,ODM,272409,3063,515,548,189242,79237,41.87,WILBER KHASILWA OTTICHILO
WAJIR,30,JP,162902,2662,393,434,108579,44814,41.27,MOHAMED ABDI MAHAMUD
WEST POKOT,2,KANU,180232,4060,676,712,143549,83103,57.89,JOHN KROP LONYANG'APUO
