winner_name,constituency,county,party,reported_poll_stations,total_poll_stations,votes_percent,votes_count,disputed_votes,valid_votes,rejected_votes,registered_voters
WILLIAM CHEPTUMO KIPKIROR,BARINGO NORTH,BARINGO,JP,171,173,35.79,12326,0,34441,523,42774
JOSHUA CHEPYEGON KANDIE,BARINGO CENTRAL,BARINGO,MCCP,131,135,48.12,14735,13,30624,323,38388
GRACE JELAGAT KIPCHOIM,BARINGO SOUTH,BARINGO,JP,121,132,37.56,9459,3,25187,279,35162
MOSES K LESSONET,ELDAMA RAVINE,BARINGO,JP,148,154,46.63,20066,0,43031,947,54742
DANIEL KAMUREN TUITOEK,MOGOTIO,BARINGO,JP,141,155,53.62,13600,92,25366,373,32276
WILLIAM KAMKET KASSAIT,TIATY,BARINGO,KANU,127,143,62.15,12796,1,20589,712,28916
RONALD KIPROTICH TONUI,BOMET CENTRAL,BOMET,JP,125,126,85.04,41548,0,48856,1154,60115
BEATRICE PAULINE CHERONO KONES,BOMET EAST,BOMET,JP,115,115,53.57,22796,0,42553,1510,52862
GIDEON KIMUTAI KOSKE,CHEPALUNGU,BOMET,CCM,152,160,34.22,18433,1,53873,1047,68544
YEGON BRIGHTON LEONARD,KONOIN,BOMET,JP,156,156,63.12,33836,0,53606,339,67177
DOMINIC KIPKOECH KOSKEI,SOTIK,BOMET,JP,171,171,66.09,39918,0,60395,1825,73314
MOSES WEKESA MWAMBU MABONGA,BUMULA,BUNGOMA,IND,147,148,34.19,18479,1,54053,1404,70683
JAMES LUSWETI MUKWE,KABUCHAI,BUNGOMA,FORD-KENYA,121,123,42.33,18204,0,43010,447,57476
ATHANAS  MISIKO WAFULA WAMUNYINYI,KANDUYI,BUNGOMA,FORD-KENYA,202,204,43.05,33283,22,77316,1612,105565
DIDMUS WEKESA BARASA MUTUA,KIMILILI,BUNGOMA,JP,105,107,51.27,19286,0,37618,424,52268
FRED KAPONDI CHESEBE,MT. ELGON,BUNGOMA,JP,144,152,49.3,23609,0,47888,466,66220
JOHN  WALUKE KOYI,SIRISIA,BUNGOMA,JP,97,99,58.71,17831,1,30373,799,40940
DAVID ESELI SIMIYU,TONGAREN,BUNGOMA,FORD-KENYA,160,164,60.5,33248,2,54958,575,73969
BERNARD ALFRED WEKESA SAMBU,WEBUYE EAST,BUNGOMA,ANC,92,93,36.29,11329,0,31215,337,42263
DANIEL WANYAMA SITATI,WEBUYE WEST,BUNGOMA,JP,85,96,39.34,12946,0,32911,1100,50466
RAPHAEL BITTA  SAUTI WANJALA,BUDALANGI,BUSIA,ODM,78,84,44.51,12339,6,27723,213,38417
JOSEPH H MAERO OYULA,BUTULA,BUSIA,ODM,120,120,29.12,13275,22,45589,467,57685
WILBERFORCE OJIAMBO OUNDO,FUNYULA,BUSIA,ODM,99,99,60.98,21597,5,35417,328,44671
GEOFFREY MAKOKHA ODANGA,MATAYOS,BUSIA,ODM,117,117,51.88,22895,1,44132,1137,56841
SAKWA JOHN BUNYASI,NAMBALE,BUSIA,ANC,86,86,47.11,15639,1,33194,279,42259
EDWARD OKU KAUNYA,TESO NORTH,BUSIA,ANC,118,118,37.28,14462,28,38796,2015,49833
GEOFFREY OMUSE,TESO SOUTH,BUSIA,ODM,136,136,46.49,22747,4,48932,352,61342
JAMES KIPKOSGEI MURGOR,KEIYO NORTH,ELGEYO/MARAKWET,JP,100,103,50.41,16385,6,32506,192,41367
DANIEL KIPKOGEI RONO,KEIYO SOUTH,ELGEYO/MARAKWET,JP,148,149,78.56,33726,0,42928,370,54050
DAVID KANGOGO BOWEN,MARAKWET EAST,ELGEYO/MARAKWET,JP,136,142,49.28,14169,0,28753,80,36428
WILLIAM KIPKEMOI KISANG,MARAKWET WEST,ELGEYO/MARAKWET,JP,133,135,60.51,23364,3,38613,197,48819
JOHN MUCHIRI NYAGA,MANYATTA,EMBU,JP,225,226,42.7,34237,460,80186,1377,99339
CHARLES MURIUKI NJAGAGUA,MBEERE NORTH,EMBU,JP,119,122,62.14,25414,5,40895,1058,51009
GEOFFREY KINGAGI MUTURI,MBEERE SOUTH,EMBU,JP,177,177,31.47,18225,6,57920,1702,72143
ERIC MUCHANGI NJIRU,RUNYENJES,EMBU,JP,180,185,85.7,58784,4,68589,1911,86977
ABDI OMAR SHURIE,BALAMBALA,GARISSA,JP,53,53,63.85,8901,0,13941,879,20145
MOHAMED DAHIR DUALE,DADAAB,GARISSA,KANU,56,56,53.0,9515,5,17952,642,25762
ABDIKHAIM OSMAN MOHAMED,FAFI,GARISSA,KANU,59,61,44.14,5575,5,12630,429,19883
ADEN BARE DUALE,GARISSA TOWNSHIP,GARISSA,JP,71,97,59.76,15983,5,26746,1832,54291
SOPHIA ABDI NOOR,IJARA,GARISSA,PDR,63,68,35.64,5824,0,16342,419,22722
MOHAMED HIRE GARANE,LAGDERA,GARISSA,KANU,46,46,38.47,5283,0,13734,251,20547
GEORGE PETER OPONDO KALUMA,HOMA BAY TOWN,HOMA BAY,ODM,101,105,61.86,25466,28,41169,186,50570
EVE AKINYI OBARA,KABONDO KASIPUL,HOMA BAY,ODM,104,105,65.46,27185,2,41528,157,49432
ANDREW ADIPO OKUOME,KARACHUONYO,HOMA BAY,ODM,162,184,85.65,52328,0,61092,752,84004
CHARLES ONG'ONDO WERE,KASIPUL,HOMA BAY,ODM,106,113,73.28,32395,1,44207,245,57344
MARTIN PETERS OWINO,NDHIWA,HOMA BAY,ODM,175,185,72.96,49623,2,68017,721,85056
LILIAN ACHIENG GOGO,RANGWE,HOMA BAY,ODM,113,118,53.7,22789,0,42436,458,52516
MILLIE GRACE AKOTH ODHIAMBO,SUBA NORTH,HOMA BAY,ODM,124,139,60.65,24159,9,39832,1167,51454
MBADI JOHN NG'ONGO,SUBA SOUTH,HOMA BAY,ODM,109,113,52.82,20018,5,37902,711,46499
HASSAN ODA HULUFO,ISIOLO NORTH,ISIOLO,KPP,132,140,31.69,11708,450,36942,1353,56253
ABDI KOROPU TEPO,ISIOLO SOUTH,ISIOLO,KPP,50,55,25.94,3390,0,13067,66,19085
ELIJAH MEMUSI KANCHORY,KAJIADO CENTRAL,KAJIADO,ODM,122,125,47.45,22364,1,47135,900,56434
PERIS PESI TOBIKO,KAJIADO EAST,KAJIADO,JP,175,184,52.21,37742,4,72291,653,102804
JOSEPH WATHIGO MANJE,KAJIADO NORTH,KAJIADO,JP,195,201,65.67,61675,1,93917,3447,127953
METITO JUDAH KATOO,KAJIADO SOUTH,KAJIADO,JP,136,139,64.96,31052,0,47799,210,59976
GEORGE RISA SUNKUYIA,KAJIADO WEST,KAJIADO,JP,121,148,36.02,16255,0,45130,1074,64026
NICHOLAS  SCOTT TINDI MWALE,BUTERE,KAKAMEGA,ANC,119,124,38.74,17519,10,45225,901,62956
BENARD MASAKA SHINALI,IKOLOMANI,KAKAMEGA,JP,100,103,44.11,15510,5,35166,774,49899
CHRISTOPHER ASEKA WANGAYA,KHWISERO,KAKAMEGA,ANC,97,105,61.29,20929,5,34147,236,48920
ENOCH WAMALWA KIBUNGUCHY,LIKUYANI,KAKAMEGA,FORD-KENYA,120,120,34.19,16010,2,46827,665,63311
AYUB SAVULA ANGATIA,LUGARI,KAKAMEGA,ANC,156,159,72.08,40553,1,56260,1241,77001
TITUS KHAMALA MUKHWANA,LURAMBI,KAKAMEGA,ANC,162,166,43.27,25200,0,58242,3358,80037
MOSES MALULU INJENDI,MALAVA,KAKAMEGA,JP,159,160,33.54,20313,5,60562,1527,82136
JUSTUS  MURUNGA MAKOKHA,MATUNGU,KAKAMEGA,ANC,112,115,38.21,17710,0,46351,1300,61728
BENJAMIN JOMO WASHIALI,MUMIAS EAST,KAKAMEGA,JP,89,91,40.39,13664,5,33831,430,45380
JOHNSON MANYA NAICCA,MUMIAS WEST,KAKAMEGA,ODM,89,92,48.88,16730,0,34229,1340,47492
EMMANUEL WANGWE,NAVAKHOLO,KAKAMEGA,JP,114,118,45.11,17292,2,38337,462,53620
JUSTUS GESITO MUGALI M'MBAYA,SHINYALU,KAKAMEGA,ODM,140,144,38.85,19477,0,50130,439,71256
SYLVANUS MARITIM,AINAMOI,KERICHO,JP,146,149,56.95,32352,0,56811,354,75521
NELSON KOECH,BELGUT,KERICHO,JP,123,127,63.63,33527,0,52692,298,67599
JAPHETH KIPLANGAT MUTAI,BURETI,KERICHO,JP,154,177,68.18,40509,0,59411,1262,82417
KIRUI JOSEPH LIMO,KIPKELION EAST,KERICHO,JP,116,119,61.86,26670,0,43114,258,56486
HILARY KIPLANG'AT KOSGEI,KIPKELION WEST,KERICHO,JP,105,106,64.02,23973,0,37449,580,46512
BENARD KIPSENGERET KOROS,SIGOWET/SOIN,KERICHO,IND,96,102,52.99,19322,0,36466,147,47133
ANNIE WANJIKU KIBEH,GATUNDU NORTH,KIAMBU,JP,125,126,66.46,39191,0,58968,759,67598
MOSES KIARIE KURIA,GATUNDU SOUTH,KIAMBU,JP,140,140,91.64,60867,0,66422,1350,75858
GABRIEL KAGO MUKUHA,GITHUNGURI,KIAMBU,JP,173,174,89.14,76958,1,86333,950,99384
FRANCIS MUNYUA WAITITU,JUJA,KIAMBU,JP,184,184,72.41,67431,11,93130,3443,114761
JAMES GITHUA KAMAU WAMACUKURU,KABETE,KIAMBU,JP,139,139,94.47,68364,15,72366,426,85446
PAUL KOINANGE,KIAMBAA,KIAMBU,JP,143,154,76.87,56512,6,73521,498,95413
JUDE L KANGETHE NJOMO,KIAMBU,KIAMBU,JP,131,132,97.79,65567,0,67046,1115,80730
JONAH MBURU MWANGI,LARI,KIAMBU,JP,135,142,75.6,48355,1,63958,219,76655
PETER MUNGAI MWATHI,LIMURU,KIAMBU,JP,138,153,59.64,39413,1,66082,850,87258
SIMON NGANGA KINGARA,RUIRU,KIAMBU,JP,240,240,87.15,108665,1,124685,1156,159337
PATRICK KIMANI WAINAINA JUNGLE,THIKA TOWN,KIAMBU,IND,221,230,52.57,58286,5,110878,842,147323
TEDDY NGUMBAO MWAMBIRE,GANZE,KILIFI,ODM,132,132,38.76,14703,3,37935,328,54760
PAUL KAHINDI KATANA,KALOLENI,KILIFI,ODM,122,123,44.63,16836,0,37722,411,60470
OWEN YAA BAYA,KILIFI NORTH,KILIFI,ODM,170,182,43.36,26095,0,60185,672,101978
RICHARD KEN CHONGA KITI,KILIFI SOUTH,KILIFI,ODM,147,147,67.15,36449,0,54276,1036,84865
MICHAEL THOYAH KINGI,MAGARINI,KILIFI,ODM,155,157,42.19,19005,5,45051,1404,68453
AISHA JUMWA KARISA KATANA,MALINDI,KILIFI,ODM,151,154,52.6,28576,2,54327,1149,87210
