winner_name,county,party,reported_poll_stations,total_poll_stations,votes_percent,votes_count,disputed_votes,valid_votes,rejected_votes,registered_voters
GIDEON KIPSIELEI TOWETT MOI,BARINGO,KANU,875,892,61.17,113664,7,185814,4062,232258
CHRISTOPHER ANDREW LANGAT,BOMET,JP,725,728,52.75,138388,1,262334,5089,322012
MOSES MASIKA WETANGULA,BUNGOMA,FORD-KENYA,1160,1186,70.45,289639,482,411111,7808,559850
SITSWILA AMOS WAKO,BUSIA,ODM,754,760,50.69,137922,477,272068,5938,351048
ONESIMUS KIPCHUMBA MURKOMEN,ELGEYO/MARAKWET,JP,524,529,80.16,116098,6,144824,1576,180664
PETER NJERU NDWIGA,EMBU,JP,161,710,70.51,39900,22,56586,1728,309468
MOHAMED YUSUF HAJI,GARISSA,JP,353,381,40.4,42391,15,104936,2615,163350
MOSES OTIENO KAJWANG,HOMA BAY,ODM,1013,1062,81.53,311691,8,382311,6991,476875
DULLO FATUMA ADAN,ISIOLO,PDR,188,195,27.96,14449,2,51683,1094,75338
PHILLIP SALAU MPAAYEI,KAJIADO,JP,762,797,52.57,164021,88,312023,5545,411193
CLEOPHAS WAKHUNGU MALALAH,KAKAMEGA,ANC,1463,1497,41.79,224455,11,537074,15434,743736
AARON KIPKIRUI CHERUIYOT,KERICHO,JP,759,780,92.37,271549,0,293995,2734,375668
WAMATANGI PAUL KIMANI,KIAMBU,JP,1942,1963,74.82,726273,19,970674,11799,1180920
STEWART MWACHIRU SHADRACK MADZAYO,KILIFI,ODM,968,988,64.23,204616,25,318591,5281,508068
DANIEL KARABA DICKSON,KIRINYAGA,JP,29,659,51.79,6152,0,11879,198,349836
SAMSON KEGENGO ONGERI,KISII,ODM,1100,1126,45.67,180643,1,395547,9515,546580
FREDRICK OTIENO OUTA,KISUMU,ODM,998,1027,82.71,350830,9,424166,3395,539210
ENOCH KIIO WAMBUA,KITUI,WDM-K,1438,1454,70.19,248492,25,354013,6554,474512
ISSA JUMA BOY,KWALE,ODM,589,612,40.88,72275,3,176803,2668,281041
JOHN KINYUA NDERITU,LAIKIPIA,JP,530,531,73.18,144905,19,198008,1761,246487
HASSAN ABDALLA ALBEITY,LAMU,WDM-K,165,167,29.59,14359,46,48528,1103,69776
BONIFACE MUTINDA KABAKA,MACHAKOS,CCU,1301,1332,34.74,159002,9,457752,10172,620254
MUTULA KILONZO JUNIOR,MAKUENI,WDM-K,1056,1060,96.46,318852,18,330565,7362,423310
MOHAMED MAALIM MAHAMUD,MANDERA,JP,371,401,53.08,66904,8,126044,3141,175642
GODANA HARGURA,MARSABIT,JP,378,384,50.75,55221,6,108802,3145,141708
FRANKLIN MITHIKA LINTURI,MERU,JP,1458,1473,56.99,305125,0,535406,12492,702480
BEN OLUOCH OKELLO,MIGORI,ODM,802,826,58.7,182489,5,310872,5177,388633
MOHAMED FAKI MWINYIHAJI,MOMBASA,ODM,926,934,50.7,170716,40,336700,9034,580223
IRUNGU KANG'ATA,MURANG'A,JP,1131,1131,55.11,279285,4,506734,9532,587126
JOHNSON ARTHUR SAKAJA,NAIROBI CITY,JP,3281,3378,51.18,809455,1113,1581604,28971,2250853
SUSAN WAKARURA KIHIKA,NAKURU,JP,1764,1806,89.6,656800,55,733066,11450,949618
CHERARKEY K SAMSON,NANDI,JP,786,796,92.45,245406,50,265459,5331,346007
LEDAMA OLE KINA,NAROK,ODM,731,750,44.1,120951,0,274277,5125,341730
ERICK OKONGO MOGENI,NYAMIRA,ODM,530,553,38.15,74685,5,195784,12146,278853
PAUL GITHIOMI MWANGI,NYANDARUA,JP,653,654,90.52,260153,3,287406,4180,335634
ENG EPHRAIM MWANGI MAINA KIRINYAGA,NYERI,JP,907,917,68.64,266414,493,388146,7180,456949
STEVE LTUMBESI LELEGWE,SAMBURU,JP,281,284,50.43,31746,1,62945,924,82787
JAMES AGGREY BOB ORENGO,SIAYA,ODM,901,916,98.35,366889,8,373054,4169,457953
JOHNES MWASHUSHE MWARUMA,TAITA TAVETA,ODM,342,354,39.18,42368,1,108129,3481,155716
GOLICH JUMA WARIO,TANA RIVER,JP,149,307,37.86,14771,0,39013,348,118327
KITHURE KINDIKI A K,THARAKA - NITHI,JP,610,625,68.83,116872,16,169807,2159,213154
MICHAEL MALING'A MBITO,TRANS NZOIA,JP,615,639,29.08,68758,20,236477,6023,339622
MALACHY CHARLES  EKAL IMANA,TURKANA,ODM,617,644,54.7,68747,35,125670,3184,191435
MARGARET JEPKOECH KAMAR,UASIN GISHU,JP,853,868,67.44,225817,49,334826,4883,450055
KHANIRI GEORGE,VIHIGA,ANC,530,548,66.57,128657,5,193278,4545,272409
ABDULLAHI IBRAHIM ALI,WAJIR,JP,426,434,29.55,34634,11,117220,3633,162902
SAMUEL LOSURON POGHISIO,WEST POKOT,KANU,681,712,61.05,88191,1,144449,4516,180232
