winner_name,county,party,reported_poll_stations,total_poll_stations,votes_percent,votes_count,disputed_votes,valid_votes,rejected_votes,registered_voters
GLADWELL JESIRE CHERUIYOT,BARINGO,KANU,841,892,33.69,60354,24,179161,3819,232258
JOYCE KORIR CHEPKOECH,BOMET,JP,724,728,78.68,205380,562,261038,4506,322012
CATHERINE NANJALA WAMBILIANGA,BUNGOMA,FORD-KENYA,1143,1186,61.88,250022,31,404064,6507,559850
FLORENCE MWIKALI MUTUA,BUSIA,ODM,746,760,53.81,144199,72,267968,6289,351048
JANE JEPKORIR KIPTOO CHEBAIBAI,ELGEYO/MARAKWET,JP,519,529,62.29,89313,7,143394,1104,180664
JANE WANJUKI NJIRU,EMBU,JP,688,710,39.27,95056,22,242043,5863,309468
ANAB MOHAMED GURE,GARISSA,JP,353,381,35.27,37155,432,105355,3529,163350
GLADYS ATIENO NYASUNA WANGA,HOMA BAY,ODM,987,1062,95.54,355268,13,371855,4142,476875
REHEMA DIDA JALDESA,ISIOLO,JP,178,195,49.14,24014,0,48866,1011,75338
JANET MARANIA TEYIAA,KAJIADO,JP,742,797,57.5,174574,3,303593,5361,411193
ELSIE BUSIHILE MUHANDA,KAKAMEGA,ODM,1457,1497,53.11,284002,396,534788,14415,743736
FLORENCE CHEPNGETICH KOSKEY,KERICHO,JP,744,780,55.74,160670,8,288226,3608,375668
GATHONI WAMUCHOMBA,KIAMBU,JP,1910,1963,94.2,899159,21,954494,11172,1180920
GERTRUDE MBEYU MWANYANJE,KILIFI,ODM,947,988,52.58,164304,11,312499,4014,508068
PURITY WANGUI NGIRICI,KIRINYAGA,JP,653,659,72.8,215745,3,296352,5740,349836
JANET ONGERA,KISII,ODM,1091,1126,42.53,166577,3,391652,8059,546580
ROZAAH AKINYI BUYU,KISUMU,ODM,985,1027,89.12,373549,12,419152,3289,539210
IRENE MUTHONI KASALU,KITUI,WDM-K,1392,1454,64.75,223103,14,344552,5622,474512
ZULEIKHA JU MA HASSAN,KWALE,ODM,577,612,47.16,81298,2,172398,2430,281041
CATHERINE WANJIKU WARUGURU,LAIKIPIA,JP,529,531,69.87,138202,81,197792,2150,246487
RUWEIDA MOHAMED OBO,LAMU,JP,166,167,47.04,23093,14,49091,741,69776
JOYCE KAMENE,MACHAKOS,WDM-K,1294,1332,46.38,210787,5,454483,6853,620254
ROSE MUSEO MUMO,MAKUENI,WDM-K,1047,1060,68.53,223550,5,326201,5680,423310
AMINA GEDOW HASSAN,MANDERA,EFP,361,401,47.81,58369,6,122087,2177,175642
SAFIA SHEIKH ADAN,MARSABIT,JP,363,384,37.52,39287,0,104716,2618,141708
KAWIRA MWANGAZA,MERU,IND,1438,1473,52.07,275636,359,529400,8539,702480
PAMELA AWUOR OCHIENG,MIGORI,ODM,787,826,60.8,185397,9,304926,4273,388633
ASHA HUSSEIN MOHAMED,MOMBASA,ODM,893,934,54.9,178144,73,324496,5839,580223
MAITU SABINA WANJIRU CHEGE,MURANG'A,JP,1127,1131,77.36,390528,12,504801,7025,587126
ESTHER MUTHONI ROSANNA PASSARIS,NAIROBI CITY,ODM,3247,3378,53.26,834748,561,1567173,26638,2250853
CHELULE CHEPKORIR LIZA,NAKURU,JP,1719,1806,67.76,482837,59,712537,10737,949618
TECLA CHEBET TUM,NANDI,JP,775,796,92.1,242021,35,262782,3465,346007
ROSELINDA SOIPAN TUYA,NAROK,JP,727,750,43.19,117494,377,272067,3227,341730
JERUSHA MONGINA MOMANYI,NYAMIRA,JP,524,553,44.24,85722,1,193745,6247,278853
FAITH WAIRIMU GITAU,NYANDARUA,JP,642,654,96.07,271516,2,282625,3603,335634
RAHAB MUKAMI WACHIRA,NYERI,JP,899,917,66.82,256743,430,384256,5584,456949
MAISON LESHOOMO,SAMBURU,KANU,282,284,49.28,31143,0,63199,1154,82787
OMBAKA CHRISTINE ODUOR,SIAYA,ODM,883,916,51.12,186648,0,365114,3519,457953
LYDIA HAIKA MNENE MIZIGHI,TAITA TAVETA,JP,339,354,40.84,43963,1,107646,2481,155716
REHEMA HASSAN,TANA RIVER,MCCP,287,307,24.94,20530,3,82303,1059,118327
BEATRICE NKATHA NYAGA,THARAKA - NITHI,JP,596,625,53.72,89106,17,165876,2080,213154
JANET NANGABO WANYAMA,TRANS NZOIA,JP,601,639,40.02,92427,11,230968,5017,339622
JOYCE AKAI EMANIKOR,TURKANA,JP,568,644,39.55,45099,21,114020,2581,191435
GLADYS JEPKOSGEI-BOSS SHOLLEI,UASIN GISHU,JP,838,868,66.48,218226,21,328260,4813,450055
BEATRICE KAHAI ADAGALA,VIHIGA,ANC,519,548,35.76,67071,12,187539,6870,272409
FATUMA GEDI ALI,WAJIR,PDR,394,434,29.32,31834,12,108591,3058,162902
LILIAN CHEPTOO TOMITOM,WEST POKOT,JP,677,712,41.67,59810,2,143527,4253,180232
